"site_id","site_name","region","ccamlr_id","latitude","longitude"
"ACUN","Acuna Island","South Orkney Islands","48.2",-60.7612,-44.637
"ADAM","Adams Island","Queen Mary Land","58.4.1",-66.5459,92.5486
"ADAR","Cape Adare","Victoria Land","88.1",-71.3063,170.1999
"AKAR","Akarui Point","Queen Maud Land","58.4.2",-68.4999,41.3901
"ALAS","Alasheyev Bight","Enderby Land","58.4.2",-67.654,46.109
"AMPH","Amphibolite Point","South Orkney Islands","48.2",-60.684,-45.339
"ANCH","Anchorage Island","Southwest Antarctic Peninsula","48.1",-67.6042,-68.2089
"ANDI","Andresen Island Site 2","Southwest Antarctic Peninsula","48.1",-66.875,-66.711
"ANDR","Andresen Island Site 1","Southwest Antarctic Peninsula","48.1",-66.879,-66.649
"ANDS","Andersen Island","Mac. Robertson Land","58.4.2",-67.4353,63.3572
"ANNE","Cape Anne","Victoria Land","88.1",-73.617,169.85
"ARDL","Ardley Island","South Shetland Islands","48.1",-62.213,-58.933
"ARMS","Armstrong Reef","Southwest Antarctic Peninsula","48.1",-65.884,-66.197
"ARTH","Arthurson Ridge","Victoria Land","88.1",-69.3634,158.5109
"AUST","Auster Islands","Mac. Robertson Land","58.4.2",-67.3966,63.9742
"AVIA","Avian Island","Southwest Antarctic Peninsula","48.1",-67.7732,-68.8855
"BACK","Backer Islands","Marie Byrd Land","88.3",-74.4112,-102.5515
"BALA","Balaena Islands","Wilkes Land","58.4.1",-66.0158,111.0688
"BARC","Barcroft Islands","Southwest Antarctic Peninsula","48.1",-66.4575,-67.1397
"BATT","Cape Batterbee","Enderby Land","58.4.2",-65.842,53.8129
"BEAG","Beagle Island","Northeast Antarctic Peninsula","48.1",-63.4139,-54.6675
"BEAN","Beaufort Island North","Victoria Land","88.1",-76.9288,166.881
"BEAU","Beaufort Island","Victoria Land","88.1",-76.9694,166.8978
"BECH","Bechervaise Island","Mac. Robertson Land","58.4.2",-67.5833,62.8167
"BENT","Benten","Queen Maud Land","58.4.2",-69.0417,39.25
"BERK","Berkley/Cameron","Wilkes Land","58.4.1",-66.2163,110.64
"BERT","Berthelot Islands (excl. Green Island)","Central-west Antarctic Peninsula","48.1",-65.333,-64.112
"BIEN","Cape Bienvenue","Wilkes Land","58.4.1",-66.7203,140.5252
"BISC","Biscoe Point","Central-west Antarctic Peninsula","48.1",-64.8114,-63.7775
"BOLI","Bolingen/Lichen Island","Princess Elizabeth Land","58.4.2",-69.456,75.7474
