"","site_id","median","mean","min","max","sd","last_year"
"1","ACUN",3928,4443.5,3760,6158,1147.99,2011
"2","ADAM",501,501,152,850,493.56,2011
"3","ADAR",635674,654875.8,338400,1008664,210743.36,2018
"4","AKAR",293,253,4,422,188.75,2011
"5","ALAS",2160,2160,2160,2160,NA,2009
"6","AMPH",12660,12660,10000,15320,3761.81,2011
"7","ANCH",250,250,0,500,353.55,2016
"8","ANDI",562,581.33,544,638,49.89,2013
"9","ANDR",2542,3073.33,2278,4400,1156.48,2009
"10","ANDS",10000,10000,10000,10000,NA,2005
"11","ANNE",619,610.6,278,1044,273.99,2018
"12","ARDL",1372,1424.11,368,2662,734.76,2022
"13","ARTH",28922,28922,28922,28922,NA,2012
"14","AUST",4164,4164,4164,4164,NA,2006
"15","AVIA",68100,89169.67,50000,155030,43201.31,2020
"16","BACK",930,930,930,930,NA,2011
"17","BALA",320,320,320,320,NA,2011
"18","BARC",1811,1811,422,3200,1964.34,2013
"19","BATT",61492,61492,61492,61492,NA,2011
"20","BEAG",381427,381427,193784,569070,265367.28,2015
"21","BEAN",1296,1397.67,920,1978,471.49,2013
"22","BEAU",85897,86093.4,42294,140936,26178.31,2013
"23","BECH",3665,3672.17,2970,4414,337.04,2001
"24","BENT",18,20.24,4,54,14.44,2004
"25","BERK",7200,10915.6,1700,26846,9776.96,2011
"26","BERT",748,982.5,626,1808,555.22,2013
"27","BIEN",30046,40326,20000,70932,26977.32,2011
"28","BISC",2050,2776.15,1044,6040,1958.22,2012
"29","BOLI",930,930,930,930,NA,1981
"30","BONG",4568,4101.71,1400,5718,1472.23,2023
"31","BORE",46,46,46,46,NA,2015
"32","BOWL",455,455,120,790,473.76,2006
"33","BRAS",261029,261029,189902,332156,100588.77,2015
"34","BRAT",10518,10518,10518,10518,NA,1981
"35","BRDM",5389,6035.11,2876,10326,2060.74,2018
"36","BRDN",65394,66918.49,29856,107092,20970.76,2018
"37","BRDS",23976,24463.24,11368,40166,7414.94,2018
"38","BROW",43630,43630,37260,50000,9008.54,2013
"39","BSON",31924,31924,31924,31924,NA,2011
"40","BURK",1306,1306,194,2418,1572.61,2011
"41","CBAR",8,6,0,10,5.29,2011
"42","CBAY",190,190,190,190,NA,2011
"43","CDAV",1080,866,400,1118,404.01,2005
"44","CHAL",94338,89932.52,2400,132638,29919.48,2019
"45","CHAP",9194,8663.33,5236,11560,3195.22,2011
"46","CHAR",74,90,56,140,44.23,2022
